id,connector_id,resource_kind,external_id,name,description,selected,last_sync_at,node_count,meta,created_at,updated_at
2b21b6f0-4921-42a6-9ffa-bd42e76543b7,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/rust_projects,ldbtech/rust_projects,These are dot...,false,,0,{},2026-05-24 15:54:12.279628-04:00,2026-05-24 22:58:02.712190-04:00
7ce891c8-cdfe-4d18-90da-67e67ff4160f,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/varitasnews,ldbtech/varitasnews,,false,,0,{},2026-05-24 15:54:12.297019-04:00,2026-05-24 22:58:02.712190-04:00
53ae94de-1f17-493d-879a-ffc938a79324,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/code-challenges,ldbtech/code-challenges,,false,,0,{},2026-05-24 15:54:12.308822-04:00,2026-05-24 22:58:02.712190-04:00
c673c00b-df1a-48da-a589-4dceeaa17c78,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/Highgaters,ldbtech/Highgaters,Welcome to highgaters where the combination of an AI driven freelancing ,false,,0,{},2026-05-24 15:54:12.321020-04:00,2026-05-24 22:58:02.712190-04:00
a138a55c-b4bc-4d72-ac40-896a00476363,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/SwiftyUI,ldbtech/SwiftyUI,,false,,0,{},2026-05-24 15:54:12.329699-04:00,2026-05-24 22:58:02.712190-04:00
a56732d7-1fbe-4ab5-a609-f76b8cffd427,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/ML_review,ldbtech/ML_review,Machine Learning Review,false,,0,{},2026-05-24 15:54:12.344907-04:00,2026-05-24 22:58:02.712190-04:00
1ed02c91-6b3f-44b5-8453-6cf3d9316948,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/ReinforcementLearning,ldbtech/ReinforcementLearning,This is repo for all projects related to Reinforcement Learning,false,,0,{},2026-05-24 15:54:12.352774-04:00,2026-05-24 22:58:02.712190-04:00
d7d3ac83-bbea-4e79-bdda-f74c97365a09,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/CSE446,ldbtech/CSE446,,false,,0,{},2026-05-24 15:54:12.360502-04:00,2026-05-24 22:58:02.712190-04:00
7988f249-0d24-405d-bd05-1e659b243ee6,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/Calculator-NoCondition,ldbtech/Calculator-NoCondition,,false,,0,{},2026-05-24 15:54:12.367234-04:00,2026-05-24 22:58:02.712190-04:00
bd3d95f5-ba8c-4fd4-9c7f-580648f76d56,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/oop_lab1,ldbtech/oop_lab1,,false,,0,{},2026-05-24 15:54:12.374430-04:00,2026-05-24 22:58:02.712190-04:00
06143571-3bb1-479b-8c91-4266da1c06bf,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/FaceDetection,ldbtech/FaceDetection,Face Detection (Computer Vision),false,,0,{},2026-05-24 15:54:12.338267-04:00,2026-05-24 22:58:02.712190-04:00
170f97cc-be6b-48e2-a1b8-c6b754c84a74,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/Backend_server,ldbtech/Backend_server,Backend Servers for my portfolio. ,false,,0,{},2026-05-24 15:54:12.347486-04:00,2026-05-24 22:58:02.712190-04:00
67b7b6bd-8de7-4822-8107-4fc900290d79,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/varitas_backend,ldbtech/varitas_backend,,false,,0,{},2026-05-19 14:42:09.419852-04:00,2026-05-19 15:52:12.677140-04:00
265aa39d-570b-4c48-a2f3-243aaa28265b,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/vowayage.com,ldbtech/vowayage.com,,false,,0,{},2026-05-19 14:42:09.398504-04:00,2026-05-19 15:52:12.677140-04:00
c7f5a10c-6826-4e2c-b46e-bca61471f23f,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/voyage,ldbtech/voyage,,false,,0,{},2026-05-19 14:42:09.402095-04:00,2026-05-19 15:52:12.677140-04:00
80bda6ab-fa34-44d6-a55e-7535ff8ec6dd,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/traveling_app,ldbtech/traveling_app,,false,,0,{},2026-05-19 14:42:09.405570-04:00,2026-05-19 15:52:12.677140-04:00
33ff7c64-8bc6-4a92-9713-b69f6edb0620,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/yelp_dt,ldbtech/yelp_dt,,false,,0,{},2026-05-19 14:42:09.409306-04:00,2026-05-19 15:52:12.677140-04:00
